BCNN_VGG16:
---Makename----:
Class116:      Maserati      , TP:  18  , TP+FP:  27  , TP+FN:  20  , Precision:0.6667, Recall:0.9000
Class117:      Hyundai       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class118:       Everus       , TP:  5   , TP+FP:  6   , TP+FN:  5   , Precision:0.8333, Recall:1.0000
Class119:       Ruiqi        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class120:     Fuqiqiteng     , TP:  3   , TP+FP:  4   , TP+FN:  3   , Precision:0.7500, Recall:1.0000
Class121:        Ford        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class122:       Futian       , TP:  25  , TP+FP:  29  , TP+FN:  29  , Precision:0.8621, Recall:0.8621
Class123:        Fudi        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class124:     Koenigsegg     , TP:  7   , TP+FP:  9   , TP+FN:  7   , Precision:0.7778, Recall:1.0000
Class125:       HongQi       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class126:       Luxgen       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class127:        SAAB        , TP:  19  , TP+FP:  24  , TP+FN:  23  , Precision:0.7917, Recall:0.8261
Class128:       Denza        , TP:  9   , TP+FP:  13  , TP+FN:  9   , Precision:0.6923, Recall:1.0000
Class129:      Yingzhi       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class130:      Infiniti      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class131:       Roewe        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class132:       Lotus        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class133:        FIAT        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class134:        Saab        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class135:       Lancia       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class136:        Seat        , TP:  14  , TP+FP:  21  , TP+FN:  16  , Precision:0.6667, Recall:0.8750
Class137:       Qoros        , TP:  3   , TP+FP:  5   , TP+FN:  3   , Precision:0.6000, Recall:1.0000
Class138:       Acura        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class139:        KIA         , TP: 135  , TP+FP: 163  , TP+FN: 158  , Precision:0.8282, Recall:0.8544
Class140:       Lotus        , TP:  21  , TP+FP:  34  , TP+FN:  33  , Precision:0.6176, Recall:0.6364
Class141:     LAND-ROVER     , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class142:      McLaren       , TP:  12  , TP+FP:  17  , TP+FN:  19  , Precision:0.7059, Recall:0.6316
Class143:      Maybach       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class144:       Dodge        , TP:  8   , TP+FP:  15  , TP+FN:  12  , Precision:0.5333, Recall:0.6667
Class145:      Mustang       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class146:       Jinlv        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class147:       Jinbei       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class148:       Suzuki       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class149:     GreatWall      , TP:  99  , TP+FP: 122  , TP+FN: 121  , Precision:0.8115, Recall:0.8182
Class150:      Changan       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class151:      Changan       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class152:        Alfa        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class153:       Aston        , TP:  42  , TP+FP:  53  , TP+FN:  52  , Precision:0.7925, Recall:0.8077
Class154:       Lufeng       , TP:  11  , TP+FP:  21  , TP+FN:  15  , Precision:0.5238, Recall:0.7333
Class155:   Shanqitongjia    , TP:  2   , TP+FP:  4   , TP+FN:  2   , Precision:0.5000, Recall:1.0000
Class156:       Chevy        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class157:      Citroen       , TP:  58  , TP+FP:  73  , TP+FN:  80  , Precision:0.7945, Recall:0.7250
Class158:       Lexus        , TP: 105  , TP+FP: 125  , TP+FN: 125  , Precision:0.8400, Recall:0.8400
Class159:      Renault       , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class160:      Shouwang      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class161:       MAZDA        , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Class162:      Huanghai      , TP:  0   , TP+FP:  0   , TP+FN:  0   , Precision:   nan, Recall:   nan
Average Precision:  0.7246, Average Recall:  0.8148
++++++++++++++++++++++++++++++++++++++++++++++++++++
-----Pose------:
Class 0 :       front        , TP: 365  , TP+FP: 377  , TP+FN: 375  , Precision:0.9682, Recall:0.9733
Class 1 :        rear        , TP: 266  , TP+FP: 270  , TP+FN: 271  , Precision:0.9852, Recall:0.9815
Class 2 :        side        , TP: 500  , TP+FP: 525  , TP+FN: 519  , Precision:0.9524, Recall:0.9634
Class 3 :     frontside      , TP: 1022 , TP+FP: 1045 , TP+FN: 1046 , Precision:0.9780, Recall:0.9771
Class 4 :      rearside      , TP: 668  , TP+FP: 678  , TP+FN: 684  , Precision:0.9853, Recall:0.9766
Average Precision:  0.9738, Average Recall:  0.9744
++++++++++++++++++++++++++++++++++++++++++++++++++++
---Car Type----:
Class 0 :        MPV         , TP: 143  , TP+FP: 175  , TP+FN: 159  , Precision:0.8171, Recall:0.8994
Class 1 :        SUV         , TP: 522  , TP+FP: 582  , TP+FN: 593  , Precision:0.8969, Recall:0.8803
Class 2 :       sedan        , TP: 744  , TP+FP: 821  , TP+FN: 881  , Precision:0.9062, Recall:0.8445
Class 3 :     hatchback      , TP: 454  , TP+FP: 530  , TP+FN: 587  , Precision:0.8566, Recall:0.7734
Class 4 :      minibus       , TP: 123  , TP+FP: 131  , TP+FN: 136  , Precision:0.9389, Recall:0.9044
Class 5 :      fastback      , TP:  70  , TP+FP: 129  , TP+FN:  81  , Precision:0.5426, Recall:0.8642
Class 6 :       estate       , TP:  10  , TP+FP:  23  , TP+FN:  16  , Precision:0.4348, Recall:0.6250
Class 7 :       pickup       , TP:  51  , TP+FP:  64  , TP+FN:  51  , Precision:0.7969, Recall:1.0000
Class 8 : hardtopconvertible , TP:  36  , TP+FP:  71  , TP+FN:  41  , Precision:0.5070, Recall:0.8780
Class 9 :       sports       , TP: 240  , TP+FP: 280  , TP+FN: 284  , Precision:0.8571, Recall:0.8451
Class10 :     crossover      , TP:  28  , TP+FP:  46  , TP+FN:  33  , Precision:0.6087, Recall:0.8485
